"ID","Date_Number","Q1Ahead_error","lag_Q1_error"
9,3,0.42,2.01333333
9,4,-1.683333333,0.42
9,5,-1.093333333,-1.683333333
9,6,0.306666667000001,-1.093333333
9,7,0.196666667000001,0.306666667000001
9,8,0.74,0.196666667000001
9,9,0.600000000000001,0.74
9,10,NA,0.600000000000001
9,11,0.596666667000001,NA
9,12,0.720000000000001,0.596666667000001
9,15,-0.94,-0.516666666999999
9,16,-0.0933333330000004,-0.94
9,17,-1.033333333,-0.0933333330000004
9,18,-0.603333333,-1.033333333
9,19,-0.760000000000001,-0.603333333
9,22,-0.223333332999999,-0.446666667
9,23,-0.0433333330000005,-0.223333332999999
9,24,0.623333333,-0.0433333330000005
9,25,0.363333333,0.623333333
9,29,0.726666667,1.21
9,30,1.04,0.726666667
12,2,NA,NA
12,7,-0.303333332999999,NA
12,8,0.84,-0.303333332999999
12,9,0.800000000000001,0.84
12,10,0.17,0.800000000000001
12,11,0.896666667,0.17
12,12,-0.18,0.896666667
12,18,-0.103333333,-0.463333333
12,21,0.203333333,-0.926666667
12,22,0.536666667,0.203333333
12,23,-0.143333333,0.536666667
12,24,-0.206666667,-0.143333333
12,28,0.81,0.31
12,32,-0.556666667,-0.34
12,33,-0.446666667,-0.556666667
12,34,0.109999999999999,-0.446666667
13,2,-1.88666667,NA
13,9,0.5,0.940000000000001
13,10,0.57,0.5
13,11,1.296666667,0.57
13,12,1.17,1.296666667
13,13,-1.046666667,1.17
13,17,-0.533333333,-1.293333333
13,18,-0.403333333,-0.533333333
13,19,-1.26,-0.403333333
13,20,-1.676666667,-1.26
15,13,-1.946666667,-0.18
15,16,0.106666667,-0.79
15,17,0.166666667,0.106666667
15,18,-0.00333333300000049,0.166666667
15,21,0.253333333,-0.226666667
15,22,0.636666667,0.253333333
15,23,0.806666667,0.636666667
15,24,0.543333333,0.806666667
15,25,-0.236666667,0.543333333
15,26,0.223333333,-0.236666667
15,27,0.71,0.223333333
15,28,0.66,0.71
15,31,-0.59,0.739999999999999
15,34,0.56,0.503333333
15,35,0.346666667,0.56
16,2,3.81333333,-1.25
16,3,-0.58,3.81333333
16,4,-1.683333333,-0.58
16,5,-1.093333333,-1.683333333
16,8,1.24,0.896666667
16,9,0.4,1.24
16,10,0.57,0.4
19,2,1.81333333,-2.75
19,3,1.42,1.81333333
19,4,-2.783333333,1.42
19,5,0.106666667,-2.783333333
19,6,1.506666667,0.106666667
19,7,0.596666667,1.506666667
19,8,1.14,0.596666667
19,9,-0.5,1.14
19,10,0.17,-0.5
19,11,0.896666667,0.17
19,12,0.42,0.896666667
19,13,-1.796666667,0.42
19,14,-1.116666667,-1.796666667
19,15,-0.54,-1.116666667
20,5,-4.193333333,-2.083333333
20,12,0.0700000000000003,0.956666667
20,15,-1.54,-0.416666666999999
20,16,-1.893333333,-1.54
20,17,-0.433333332999999,-1.893333333
20,18,-0.403333333,-0.433333332999999
20,19,-1.06,-0.403333333
20,20,-1.376666667,-1.06
20,21,-0.646666667,-1.376666667
20,24,0.513333332999999,0.316666667
20,27,0.31,-0.816666667
20,28,1.21,0.31
20,29,1.226666667,1.21
20,33,-0.776666667,-0.656666667
20,36,-0.323333333,-0.253333333
20,43,-1.32,-1.606666667
20,46,-0.13,0.47
20,47,-0.733333333,-0.13
20,48,0.0333333329999999,-0.733333333
20,49,0.1,0.0333333329999999
20,50,0.243333333,0.1
20,51,0.986666667,0.243333333
20,52,1.206666667,0.986666667
20,55,-0.103333333,1.136666667
20,56,-0.533333333000001,-0.103333333
20,57,-0.44,-0.533333333000001
20,58,-0.78,-0.44
20,59,-0.25,-0.78
20,64,0.0366666670000004,0.016666667
20,67,-0.103333333,-0.00666666699999929
20,70,-0.383333333,-0.736666667000001
20,73,0.543333333,0.0500000000000007
20,74,0.89,0.543333333
20,75,0.533333333,0.89
