"ID","Date_Number","Q3Ahead_Error","lag2_Q3Ahead_Error"
9,28,2.74,0.41
12,17,-1.21,-1.893333333
12,27,1.526666667,-0.676666667
12,31,-1.346666667,2.14
13,16,-1.603333333,-2.29
20,32,-0.24,2.41
20,98,0.976666666999999,1.776666667
20,112,-0.293333333,-2.256666667
31,20,-2.163333333,-3.56
51,10,1.62,1.3
51,17,-1.16,-2.893333333
66,34,-0.0233333330000001,-0.746666667
67,13,-2.34,1.72
67,17,-1.61,-2.493333333
69,24,-0.776666667,0.00666666699999929
69,29,0.91,0.51
72,18,-1.226666667,-0.333333333
80,13,-3.14,2.42
80,22,0.843333332999999,-1.446666667
82,35,0.59,-0.74
86,16,-3.103333333,-1.84
94,35,-0.109999999999999,0.46
99,14,-1.193333333,0.483333332999999
99,74,0.316666667,0.843333332999999
99,107,-2.403333333,-2.856666667
404,70,0.45,-0.936666667000001
405,74,NA,0.943333333
407,125,-0.15,-0.371666667
409,51,0.78,-0.906666667000001
411,61,0.0766666670000005,0.0266666669999998
411,73,1.113333333,0.4
411,78,-3.03,0.366666667
411,125,-0.22,-0.076666667
411,141,0.15,NA
414,60,0.46,-0.73
420,81,-1.436666667,-2.38
423,52,2.016666667,0.796666667
423,63,0.22,-0.12
423,73,1.173333333,-0.22
423,94,1.64,NA
423,100,-0.016666667,0.703333333
423,104,-2.830166667,-0.763333333
423,107,-2.353333333,-2.830166667
423,110,-0.533333333,-2.353333333
423,116,-0.253333333,-0.073333333
426,81,-1.596666667,-2.81
426,148,0.731666667,0.5183
437,49,-0.0133333329999998,-0.496666667
448,106,-1.756666667,-1.11
450,62,-0.203333333,NA
456,103,-1.01,NA
463,95,0.276666667,0.956666667
463,136,-1.132833333,-0.38
464,61,-0.203333333,-0.103333333
464,70,0.95,-0.746666667
466,60,-0.890000000000001,-0.98
466,63,-0.21,-0.890000000000001
466,69,-0.896666667,-0.876666667
470,60,0.159999999999999,NA
470,64,-0.846666667,-0.553333332999999
481,74,0.716666667,0.793333333
483,60,-0.340000000000001,-1.1
483,64,-0.196666667,0.016666667
483,74,0.366666667,0.593333332999999
486,61,-0.553333332999999,-0.153333333
488,81,-1.686666667,-3.23
497,76,-1.783333333,0.823333333
497,90,0.486666667,-0.643333333
498,102,0.153333333,1.553333333
506,108,-1.079366667,-3.293333333
507,149,-0.35,0.427
508,103,-1.2063,0.149133333
508,118,-0.268066667,-0.577433333
508,128,-0.033333333,-0.05
510,92,-0.463333333,-1.423333333
519,96,0.531333333,0.373333333
523,93,-0.836666667,NA
523,97,1.393333333,0.86
523,101,-0.363333333,0.806666667
523,123,0.056666667,-1.443333333
524,138,-1.203333333,-0.991066667
524,149,-0.4349,0.2644
526,125,-0.11,-0.036766667
532,114,-0.843333333,-0.143333333
532,136,-0.213333333,-0.08
538,115,-0.013333333,-0.193333333
542,115,-0.563333333,-0.093333333
553,119,-0.126666667,-0.873333333
559,131,-0.176666667,-0.053333333
560,122,-0.396666667,NA
560,125,-0.1072,-0.396666667
9,14,-1.893333333,0.00333333299999872
9,15,-1.433333333,-1.016666667
9,21,0.056666667,-1.676666667
9,22,0.443333333,-1.646666667
12,4,NA,NA
12,7,0.300000000000001,NA
12,14,-1.893333333,-0.196666667000001
12,20,-1.313333333,-1.21
12,21,0.556666667,-1.376666667
13,4,-3.893333333,NA
13,9,1.596666667,0.140000000000001
13,22,0.243333333,-2.346666667
15,15,-3.083333333,-3.316666667
15,16,-0.353333333,-4.04
15,20,-0.363333333,-1.01
15,21,0.306666667,-1.776666667
15,30,-0.806666667,1.626666667
15,31,-0.746666667,1.04
15,33,0.746666667,-0.806666667
15,34,0.226666667,-0.746666667
16,7,0.800000000000001,-1.893333333
16,8,1.27,-1.603333333
16,12,-1.816666667,1.296666667
20,5,-3.203333333,-4.683333333
20,12,-1.916666667,1.396666667
20,14,-1.993333333,-0.106666667000001
20,15,-1.833333333,-1.916666667
20,23,0.163333333,-1.463333333
20,24,-0.176666667,-0.543333333000001
20,26,0.51,0.163333333
20,27,1.726666667,-0.176666667
20,35,-0.71,-0.24
20,36,-2.176666667,-0.553333333
20,38,-1.953333333,-0.71
20,43,-1.83,-2.206666667
20,45,0.566666667,-2.416666667
20,46,-0.096666667,-1.83
20,54,0.566666667,1.98
20,55,-0.73,2.456666667
20,61,0.0466666670000002,-0.523333333
20,64,-0.016666667,0.0466666670000002
20,66,-0.236666667,0.0999999999999996
20,67,-0.816666667000001,-0.016666667
20,69,-0.516666667,-0.236666667
20,70,-0.109999999999999,-0.816666667000001
20,72,1.03,-0.516666667
20,73,1.313333333,-0.109999999999999
20,108,-3.096666667,-3.173333333
20,109,-2.256666667,-2.806666667
23,5,-2.103333333,-3.683333333
23,6,2.14,-2.993333333
23,8,1.5,-2.103333333
23,9,1.696666667,2.14
23,12,-0.716666667,1.696666667
23,15,-3.533333333,-0.716666667
23,20,-1.363333333,-2.7
23,21,0.556666667,-2.576666667
30,38,-2.373333333,-0.899999999999999
30,41,-2.24,-2.373333333
30,50,1.076666667,-0.94
31,6,1.14,-1.593333333
31,13,-3.84,1.32
31,16,-1.553333333,-3.84
31,17,-3.56,-3.393333333
35,14,NA,NA
35,15,NA,NA
40,6,1.18,-5.293333333
40,7,1.38,-4.693333333
40,26,1.23,-0.096666667
40,27,1.846666667,-0.0266666669999998
40,30,-0.0766666669999996,1.846666667
40,31,-0.266666667,1.91
40,34,-0.0733333329999999,-0.266666667
40,35,-0.64,0.45
40,38,-1.263333333,-0.64
40,39,-1.8,-1.536666667
40,42,-2.106666667,-1.8
40,43,-1.28,-1.706666667
40,46,-0.166666667,-1.28
40,47,-0.0899999999999999,-1.4
40,63,0.0700000000000003,-0.0100000000000007
40,64,-0.436666667,-0.0433333329999996
40,66,-0.456666667,0.0700000000000003
40,67,-0.846666667,-0.436666667
40,70,0.45,-0.846666667
40,71,0.773333333,-0.683333333
40,77,-2.44,0.966666667
40,78,-2.93,0.256666667
40,93,0.763333333,0.036666667
43,21,-0.393333333,-0.986666667
43,22,0.0433333329999996,-1.146666667
43,28,0.639999999999999,-0.19
43,29,0.41,0.31
51,20,-0.763333332999999,-1.16
51,33,-0.253333333,0.243333333000001
51,34,-0.0233333330000001,-0.546666666999999
60,16,-0.403333333,-2.74
60,17,-0.86,-2.093333333
62,22,0.443333333,-0.846666667
62,23,0.263333333,0.0366666670000004
65,4,-3.693333333,-1.38
65,7,1.3,-3.693333333
65,12,NA,1.146666667
65,15,-1.233333333,NA
65,16,-1.653333333,-3.19
65,27,2.776666667,-1.026666667
65,37,-1.69,0.726666667
65,86,-0.87,-0.566666667
65,87,-0.183333333,-0.843333333
65,92,1.036666667,-0.0233333330000001
65,93,-0.236666667,0.386666667
65,104,-3.156666667,-0.363333333
65,105,-3.473333333,-0.696666667
66,4,NA,NA
66,5,-1.103333333,NA
66,19,-2.346666667,-0.503333333
66,20,-1.563333333,-1.36
66,22,0.143333332999999,-2.346666667
66,23,-0.436666667,-1.563333333
66,31,-0.746666667,1.74
67,6,1.64,-3.793333333
67,7,1.8,-3.893333333
68,8,0.67,-1.403333333
68,9,0.396666667,0.34
68,11,-0.896666667,0.67
68,12,-2.216666667,0.396666667
69,33,0.746666667,0.743333333000001
69,34,0.276666667,0.153333333
70,36,-1.676666667,0.946666667000001
70,37,-1.54,0.776666667
70,40,-2.406666667,-1.54
72,8,1.67,NA
72,9,2.296666667,2.14
72,11,0.303333332999999,1.67
72,12,-1.616666667,2.296666667
72,14,-1.643333333,0.303333332999999
72,15,-0.333333333,-1.616666667
72,22,1.343333333,-1.646666667
72,23,0.863333333,-1.963333333
72,29,NA,2.01
72,30,1.093333333,2.426666667
75,8,1.87,-1.603333333
79,20,-0.763333332999999,-0.260000000000001
79,21,-1.043333333,-0.976666667
80,5,-2.203333333,-4.383333333
80,7,1.1,-4.093333333
80,8,1.47,-2.203333333
84,4,-4.893333333,-1.58
84,5,0.396666667,-4.683333333
84,9,-0.703333333,1.84
84,10,0.620000000000001,0.800000000000001
84,14,-2.893333333,-0.996666667000001
84,15,-2.333333333,-3.816666667
84,24,-1.076666667,1.156666667
84,25,-1.29,1.443333333
84,28,-0.460000000000001,-1.29
84,29,-0.59,-0.99
84,48,NA,0.466666667
84,49,0.786666667,0.403333333
84,70,1.35,-1.146666667
84,71,1.043333333,NA
84,88,-0.083333333,-0.66
84,89,0.176666667,-0.27
84,92,0.536666667,0.176666667
84,93,0.363333333,0.286666667
84,96,-0.00666666700000018,0.363333333
84,97,-0.196666667000001,0.46
