"ID","Date_Number","Q4Ahead_error","Lag_Q4Ahead_error"
20,9,1.42,-2.86
40,51,1.896666667,-0.186666667
43,5,0.640000000000001,-2.483333333
51,14,-2.933333333,0.203333333
51,30,0.253333333,1.726666667
69,11,-1.816666667,NA
69,17,-1.476666667,-4.393333333
75,12,-3.74,2.296666667
75,16,-3.86,-3.74
79,14,-5.033333333,-0.696666667000001
80,17,-1.376666667,-3.693333333
82,31,-1.24,2.64
94,79,-2.58,-0.913333333000001
99,78,-4.093333333,0.216666667
99,114,-0.563333333,-1.343333333
405,94,0.726666667,0.00666666700000018
407,130,-0.119666667,-0.436666667
421,122,-0.163333333,-1.786666667
423,69,NA,-0.146666667
424,129,NA,NA
428,123,0.106666667,-0.713333333
429,79,-3.07,-1.793333333
431,95,0.913333333,1.096666667
431,116,-0.933333333,-0.233333333
451,65,-0.176666667,0.0466666670000002
472,90,-0.493333333,-0.813333333
488,78,-4.493333333,0.516666667
497,109,-3.096833333,-2.869166667
498,99,NA,NA
502,95,1.193333333,1.236666667
506,86,-1.333333333,-1.666666667
510,120,-1.413333333,-2.153333333
533,109,-1.193333333,-3.006666667
542,150,NA,NA
559,120,-1.413333333,-1.453333333
576,136,-0.303333333,-0.1
577,149,-0.47,0.17
9,28,2.59,0.41
9,29,0.443333333,1.21
12,6,NA,NA
12,18,-1.446666667,-1.733333333
12,27,2.09,-0.476666667
12,28,1.91,-0.24
12,31,-1.49,2.09
12,32,-1.153333333,1.91
13,6,-0.0999999999999996,-6.093333333
13,8,1.896666667,-3.503333333
13,16,-2.56,-1.81
13,17,-2.576666667,-2.643333333
20,32,-0.253333333,2.41
20,33,-0.823333333000001,1.843333333
20,40,-2.52,-2.54
20,42,-2.53,-2.86
20,63,0.0433333330000005,-0.140000000000001
20,98,0.893333333,2.236666667
20,99,1.073333333,1.493333333
20,112,-0.253333333,-3.356666667
23,14,-3.333333333,0.203333333
30,40,-3.52,-2.74
31,8,2.296666667,-0.603333333
31,10,-1.196666667,1.05
31,12,-4.34,2.296666667
31,20,-2.643333333,-3.41
51,10,0.203333333,1.3
65,9,1.42,-1.96
65,11,-1.566666667,NA
67,13,-2.593333333,2.12
67,14,-2.433333333,0.203333333
67,17,-2.226666667,-2.593333333
69,24,-0.49,-0.843333333
69,25,0.00999999999999979,0.193333333
69,29,1.043333333,0.00999999999999979
69,30,0.753333333,1.926666667
72,18,-1.396666667,-1.833333333
72,19,-1.463333333,-1.103333333
80,13,-3.693333333,1.42
80,22,0.363333333,-1.746666667
82,35,-0.276666667,-1.24
86,5,-1.16,0.916666666999999
86,16,-3.96,-1.74
87,5,NA,-3.683333333
87,15,-2.103333333,-1.316666667
94,14,-1.733333333,0.00333333299999872
94,35,-1.276666667,0.66
94,39,-2.006666667,-1.276666667
99,14,-1.333333333,0.703333333
99,15,-1.603333333,0.133333332999999
99,37,NA,-0.823333333000001
99,39,-2.506666667,-2.076666667
99,55,-0.970000000000001,2.036666667
99,60,0.346666667,-0.880000000000001
99,62,-0.11,-0.423333333
99,64,-0.323333333,0.346666667
99,66,-0.746666667,-0.11
99,68,-1.046666667,-0.323333333
99,70,1.143333333,-0.746666667
99,74,0.216666667,1.143333333
99,83,-1.793333333,-3.78
99,104,-3.273333333,0.0366666669999995
404,70,0.783333333,-0.956666667
404,71,1.02,-0.823333333000001
405,60,0.146666667,-1.98
407,67,-1.393333333,-0.646666667
407,101,-0.896666667,0.586666666999999
407,125,-0.166666667,-0.371666667
407,126,-0.436666667,-0.626333333
409,52,0.746666667,-0.463333333
411,61,0.0766666670000005,-0.0733333329999999
411,62,0.0899999999999999,-0.0733333329999999
411,73,1.416666667,-0.33
411,79,-3.08,-0.833333333000001
411,87,-1.133333333,-2.383333333
411,89,-0.113333333,-1.84
411,91,1.286666667,-1.133333333
411,126,-0.056566667,-0.133333333
411,133,-0.4547,-0.023333333
411,141,0.206666667,-0.853333333
411,142,0.106666667,NA
414,60,0.166666667,-1.73
414,61,-0.553333332999999,-0.653333333
420,42,-2.05,-1.66
420,81,-1.656666667,-2.43
420,82,-0.766666667,-3.443333333
420,117,-0.376666667,-0.143333333
423,52,1.856666667,0.966666667
423,56,-0.91,1.856666667
423,64,-0.493333333,-0.173333333
423,73,1.476666667,NA
423,74,NA,0.173333333
423,100,-0.263333333,0.693333333
423,101,-1.196666667,0.906666667
423,104,-3.197533333,-0.263333333
423,111,-0.303333333,-2.386666667
423,116,-0.333333333,-0.163333333
423,117,-0.446666667,-0.083333333
426,81,-1.696666667,-2.59
426,82,-1.316666667,-4.073333333
426,148,0.645,0.31
426,149,0.325,0.51
428,51,1.846666667,-0.636666667
429,110,-0.453333333,-3.373333333
429,140,0.044,-0.597333333
429,142,0.177966667,-0.865
429,148,-0.4,0.2942
429,150,-1.192633333,0.670866667
431,44,-0.633333333,-1.82
431,120,-0.183333333,-0.933333333
433,105,-2.926666667,-0.696666667
439,76,-3.14,0.713333333
439,78,-4.593333333,0.766666667
439,83,-1.493333333,-3.53
442,65,-0.426666667,0.546666667
448,106,-2.953333333,-1.11
448,107,-2.436666667,-2.206666667
456,103,-2.406666667,NA
456,104,-2.823333333,NA
456,127,-0.003333333,0.086666667
456,129,-0.023333333,0.033333333
458,61,-0.953333333,-1.403333333
458,76,-3.14,0.213333333
463,95,0.443333333,0.636666667
463,96,-0.0466666670000002,0.763333333
463,136,-1.264233333,-0.43
463,137,-0.950433333,-0.81
464,61,-0.203333333,NA
464,65,-0.726666667,-0.203333333
464,70,1.143333333,-1.246666667
464,71,0.72,-0.593333333
464,77,-3.03,0.716666667
465,71,1.62,-0.193333333
466,60,-1.103333333,-0.98
466,64,-1.273333333,-1.103333333
466,69,-0.85,-1.426666667
466,70,0.243333333,-1.446666667
470,61,-0.653333333,NA
470,64,-0.723333333,0.096666667
470,65,-1.076666667,-0.653333333
472,84,-2.72,-2.576666667
472,86,-0.813333333,-1.946666667
472,94,0.573666667,-0.493333333
481,74,0.516666667,0.793333333
481,75,-1.183333333,1.17
483,60,-0.103333333,-2.6
483,61,0.276666667000001,NA
483,64,-0.123333333,-0.103333333
483,65,-0.176666667,0.276666667000001
483,78,-4.343333333,0.366666667
483,83,-0.543333333,-1.78
486,61,-0.303333332999999,-0.653333333
486,62,-0.31,-0.373333333
486,66,-0.946666667000001,-0.31
488,71,NA,NA
488,73,0.816666667,-0.449999999999999
488,82,-1.866666667,-4.493333333
497,77,NA,1.116666667
497,84,NA,-2.286666667
497,90,0.796666667,-1.283333333
497,91,0.296666667,-1.133333333
498,106,-3.303333333,-0.56
502,89,0.286666667,-1.57
502,91,1.236666667,-1.483333333
506,108,-1.269366667,-3.273333333
507,99,0.283333333,0.226333333
507,149,-0.645,0.48
507,150,-1.048933333,0.716666667
508,90,0.426666667,-1.163333333
508,92,0.289333333,NA
508,103,-2.280966667,-0.543666667
508,104,-3.031433333,-0.296233333
508,118,-0.530366667,-0.783933333
508,119,-0.505433333,-1.129633333
508,128,-0.046666667,-0.295
508,137,-1.103333333,-0.46
510,93,-0.24,-1.513333333
512,141,0.786666667,0.046666667
519,96,0.701333333,0.373333333
519,97,0.548666667,0.46
523,94,1.326666667,NA
523,97,1.206666667,-0.44
523,98,0.403333333,1.326666667
523,101,-0.796666666999999,1.206666667
523,102,-2.32,0.403333333
523,140,-1.49,-1.693333333
524,138,-1.5286,-0.646666667
524,139,-0.6126,-1.351533333
524,149,-0.9885,0.0196999999999998
526,126,-0.096666667,-0.068933333
526,132,-0.418,-0.115666667
527,141,0.306666667,-0.853333333
533,103,-2.206666667,0.833333333
533,105,-3.006666667,-0.096666667
533,136,-0.643333333,-0.08
542,115,-0.873333333,-0.193333333
542,116,-0.953333333,-0.053333333
542,145,NA,NA
544,110,-0.393333333,-3.853333333
553,119,-0.073333333,-1.073333333
553,120,-0.663333333,-1.353333333
559,131,-0.273333333,-0.053333333
559,132,-0.13,-0.066666667
559,146,0.776666667,0.126666667
560,122,-0.663333333,NA
560,126,-0.036666667,-0.663333333
569,132,-0.68,-0.066666667
572,129,-0.093333333,-0.166666667
9,14,-1.933333333,NA
9,15,-1.803333333,-0.416666666999999
9,16,-1.46,-1.54
9,21,0.343333332999999,-3.276666667
9,22,0.293333333,-1.906666667
9,23,-0.276666667,-1.363333333
12,8,1.896666667,NA
12,14,-1.733333333,0.00333333299999872
12,21,0.793333333,-1.676666667
12,22,0.563333333,-1.446666667
13,10,0.703333333,-0.0999999999999996
13,22,0.163333333,-2.546666667
15,16,-1.11,-4.54
15,17,-1.876666667,-4.393333333
15,20,-0.493333333000001,-1.11
15,21,0.443333333,-1.876666667
15,22,1.113333333,-1.946666667
15,30,0.00333333299999961,1.826666667
15,31,0.71,1.79
15,34,-0.51,0.00333333299999961
15,35,-1.776666667,0.71
16,7,0.67,-4.393333333
16,8,1.796666667,-1.103333333
16,9,1.42,-0.859999999999999
16,12,-2.04,1.796666667
20,15,-1.603333333,-0.516666666999999
20,16,-2.36,-2.54
20,23,0.323333333,-1.763333333
20,24,0.71,-1.443333333
20,27,2.44,0.323333333
20,28,2.41,0.71
20,36,-2.54,-0.253333333
20,46,-0.0299999999999998,-2.53
20,47,NA,-1.54
20,54,0.359999999999999,2.29
20,55,-1.08,2.676666667
20,56,-1.08,2.296666667
20,61,-0.153333333,-0.523333333
20,67,-0.683333333,0.0433333330000005
20,70,0.293333333,-0.806666667
20,73,1.616666667,-0.33
20,74,1.416666667,0.293333333
20,108,-3.356666667,-3.333333333
20,109,-2.333333333,-3.296666667
23,5,-1.36,-5.283333333
23,6,1.8,-4.593333333
23,9,2.22,-1.36
23,10,0.203333333,1.8
23,12,-1.64,2.236666667
23,16,-3.86,-1.64
23,20,-1.743333333,-3.86
23,21,0.643333332999999,-4.346666667
30,38,-3.26,-1.26
30,42,-2.21,-3.26
30,50,1.28,-0.24
31,6,1.05,-3.093333333
31,14,-4.133333333,-1.196666667
31,16,-3.41,-4.34
31,17,-3.226666667,-4.893333333
35,14,NA,1.203333333
35,15,NA,NA
35,16,-2.66,NA
40,6,1.11,-5.843333333
40,7,1.86,-5.393333333
40,8,2.496666667,-4.433333333
40,26,1.946666667,0.833333333
40,27,2.62,-0.336666666999999
40,28,1.78,0.46
40,30,-0.226666667,1.946666667
40,31,-0.0499999999999998,2.62
40,32,0.676666667,1.78
40,34,-0.529999999999999,-0.226666667
40,35,-1.576666667,-0.0499999999999998
40,36,-1.97,0.676666667
40,38,-2.08,-0.529999999999999
40,39,-2.946666667,-1.576666667
40,40,-2.17,-1.97
40,42,-2.42,-2.08
40,43,-1.65,-2.946666667
40,44,-1.643333333,-2.17
40,46,-0.35,-2.42
40,47,-0.186666667,-1.65
40,63,0.0233333330000001,0.329999999999999
40,64,NA,-0.0433333329999996
40,67,-0.703333333000001,0.0233333330000001
40,68,-0.646666667,NA
40,70,0.823333333,-1.026666667
40,71,1.26,-0.703333333000001
40,72,0.793333333,-0.646666667
40,77,-2.93,1.016666667
40,78,-4.203333333,0.896666667
40,79,-3.7,-0.943333333
40,93,0.96,-0.113333333
43,21,-0.206666667,-0.776666667
43,22,-0.336666667,-1.466666667
43,23,-1.076666667,NA
43,28,0.00999999999999979,-0.39
43,29,-0.256666666999999,0.51
51,21,0.243333333,-1.876666667
51,34,-0.51,0.253333333
60,16,-1.26,-2.74
60,17,-1.476666667,-2.993333333
60,18,-1.646666667,-1.833333333
62,22,0.0633333330000001,-0.846666667
62,23,-0.0766666669999996,-0.963333333
62,24,-0.59,0.056666667
65,5,-1.96,-1.183333333
65,7,NA,-1.293333333
65,13,-3.193333333,1.42
65,15,NA,-1.566666667
65,16,-1.91,NA
65,17,-1.676666667,-3.193333333
65,27,3.74,NA
65,38,-2.66,0.24
65,86,-1.083333333,-1.466666667
65,87,-0.283333333,-0.993333333
65,88,-0.223333333,-1.16
65,92,1.063333333,-0.223333333
65,93,-0.49,0.286666667
65,94,-0.273333333,0.806666667
65,104,-3.573333333,0.0366666669999995
65,105,-3.506666667,-0.696666667
66,5,-1.06,NA
66,6,1,NA
66,19,-1.763333333,-1.203333333
66,20,-1.443333333,-1.76
66,23,-0.376666666999999,-1.763333333
66,24,-0.0899999999999999,-1.443333333
66,31,-0.24,2.44
67,6,1.8,-3.093333333
67,7,NA,-2.893333333
67,8,2.296666667,-3.103333333
68,8,1.296666667,-3.803333333
68,9,0.720000000000001,-1.16
68,12,-3.14,1.296666667
68,13,-4.793333333,0.720000000000001
69,33,0.276666667,1.043333333
69,34,-0.41,0.753333333
70,36,-2.04,1.146666667
70,37,-1.623333333,0.976666667
70,38,-1.76,0.49
70,40,-2.62,-2.04
72,8,2.546666667,-3.703333333
72,9,2.82,NA
72,12,-2.04,2.546666667
72,15,-1.103333333,-0.516666666999999
72,22,1.363333333,-1.396666667
72,23,NA,-1.463333333
72,24,0.46,-2.343333333
72,29,NA,2.01
72,30,1.153333333,NA
75,8,2.296666667,-2.103333333
79,20,-0.943333333,-0.760000000000001
79,21,-0.756666667,-0.476666667
79,22,-0.336666667,-1.446666667
80,8,2.396666667,-3.003333333
80,9,1.42,-0.959999999999999
84,5,2.14,-6.683333333
84,6,1.3,-8.093333333
84,9,-0.68,2.14
84,10,-1.396666667,1.3
84,11,-2.116666667,0.92
84,14,-2.833333333,-1.396666667
84,15,-2.603333333,-2.116666667
84,16,-2.36,-5.54
84,24,-0.59,-0.643333333
84,25,NA,1.443333333
84,26,-0.773333333,1.063333333
84,28,-1.59,-0.59
84,29,-1.656666667,NA
84,30,-1.546666667,-0.773333333
84,48,NA,0.0666666670000002
84,49,NA,0.503333333
84,50,1.88,0.46
84,70,2.043333333,-1.046666667
84,71,NA,-0.993333333000001
84,72,1.213333333,NA
84,88,0.076666667,NA
84,89,0.586666667,-0.77
84,90,0.606666667,-0.283333333
84,92,0.0633333330000001,0.076666667
84,93,0.46,0.586666667
84,94,0.726666667,0.606666667
84,96,-0.196666667000001,0.0633333330000001
84,97,-0.293333333000001,0.46
84,98,-1.096666667,0.726666667
84,100,-0.763333333,-0.196666667000001
84,101,-1.696666667,-0.293333333000001
84,102,-1.91,-1.096666667
84,108,-1.726666667,-3.573333333
84,109,-1.543333333,-3.006666667
84,110,-0.643333333,-3.203333333
84,112,-0.153333333,-1.726666667
84,113,-0.243333333,-1.543333333
84,114,-0.163333333,-0.643333333
86,25,-0.890000000000001,0.243333333
87,7,1.67,NA
87,10,NA,2.8
87,11,-1.316666667,1.67
94,12,-2.64,1.996666667
94,16,-1.86,-2.64
94,18,-1.046666667,-1.733333333
94,19,-1.163333333,-1.203333333
94,22,0.463333333,-1.046666667
94,23,0.0133333330000003,-1.163333333
94,28,2.11,0.00999999999999979
94,29,0.0433333330000005,1.19
94,32,NA,2.11
94,41,-3.216666667,-1.123333333
94,56,-0.180000000000001,0.696666667
94,57,0.796666667,0.166666666999999
94,58,0.276666667,0.0599999999999996
94,63,-0.546666666999999,0.359999999999999
94,64,-1.123333333,-0.553333332999999
94,65,-0.376666667,-0.953333333
94,68,-0.146666667,-1.123333333
94,69,0.45,-0.376666667
94,72,1.233333333,-0.146666667
94,73,0.906666667,0.45
94,75,-0.913333333000001,1.1
99,29,1.443333333,0.609999999999999
99,35,-2.076666667,-0.140000000000001
99,41,-2.816666667,NA
99,46,-0.34,-2.53
99,47,-0.056666667,-1.24
99,48,0.586666667,-1.333333333
99,53,0.566666667,0.976666667
99,85,-1.27,-2.356666667
99,90,0.606666667,-1.283333333
99,91,0.336666667,-1.583333333
99,92,0.663333333,-1.223333333
99,94,0.526666667,0.606666667
99,95,0.793333333,0.336666667
99,96,0.603333333,0.663333333
99,98,0.603333333,0.526666667
99,99,0.483333333,0.793333333
99,100,0.0366666669999995,0.603333333
99,102,-0.91,0.603333333
100,21,-0.456666667,-2.476666667
100,33,-0.773333333,-0.056666667
100,34,-0.76,-0.596666667
100,35,-2.976666667,-1.24
404,52,0.746666667,0.416666667
404,53,-0.553333333,0.846666667
404,54,-1.46,1.52
405,45,-0.196666667,-2.416666667
405,46,-0.34,-1.73
405,49,0.876666667,-0.196666667
405,50,1.48,-0.34
405,55,-1.97,2.036666667
405,56,-1.98,1.196666667
405,89,-0.813333333,-1.47
405,90,0.00666666700000018,-0.983333333
405,103,-2.356666667,0.383333333
405,104,-2.773333333,0.136666667
407,65,-1.476666667,-0.353333333
407,69,-0.85,-1.476666667
407,80,-2.986666667,-2.34
407,81,-2.456666667,-2.63
407,82,-2.466666667,-3.893333333
407,103,-2.624666667,0.283333333
407,106,-3.910333333,-1.11
407,107,-2.986666667,-2.624666667
407,108,-2.797666667,-3.273333333
407,112,-1.753333333,-2.797666667
409,48,-0.463333333,-2.133333333
411,42,-2.23,-1.79
411,43,-0.99,-1.846666667
411,44,-1.233333333,-2.52
411,54,-1.13,1.61
411,55,-1.12,2.066666667
411,56,-1.13,1.046666667
411,85,-1.84,-1.806666667
411,95,0.793333333,1.286666667
411,96,0.643333333,0.778333333
411,102,-1.55,0.343333333
411,103,-2.886666667,0.223333333
411,104,-3.303333333,-0.0133333330000003
411,122,-0.133333333,-0.266666667
411,131,-0.094933333,-0.034833333
411,135,-0.573333333,-0.094933333
414,55,-0.42,2.236666667
414,56,-1.73,2.096666667
414,57,-0.653333333,1.366666667
414,71,1.22,-0.693333333
414,72,1.113333333,-1.256666667
414,73,0.916666667,-0.75
414,75,-1.283333333,1.22
416,54,0.76,1.88
416,55,-0.970000000000001,1.896666667
416,56,0.0199999999999996,0.996666667
420,46,-0.44,-2.05
420,47,-0.256666667,-0.44
420,49,0.976666667,-0.146666667
420,50,1.73,-0.44
420,51,NA,-0.256666667
420,62,0.24,-0.673333333
420,63,0.0533333330000003,-0.24
420,64,0.0266666669999998,-0.203333333
420,72,1.313333333,-0.796666667
420,73,1.116666667,-0.699999999999999
420,74,NA,0.243333333
420,85,-1.87,-1.656666667
420,88,-2.123333333,-2.08
420,89,-0.513333333,-1.87
420,92,0.613333333,-2.123333333
420,93,0.81,-0.513333333
420,94,0.976666667,0.0566666670000002
420,97,1.106666667,0.81
420,98,0.603333333,0.976666667
420,99,0.533333333,1.013333333
420,101,-0.296666666999999,1.106666667
420,102,-0.91,0.603333333
420,103,-2.256666667,0.533333333
420,109,-1.843333333,-2.506666667
420,110,-1.243333333,-3.203333333
420,111,-0.193333333,-2.086666667
420,115,-0.573333333,-0.193333333
420,119,-0.233333333,-0.573333333
420,127,-0.053333333,-0.013333333
420,128,-0.066666667,-0.05
420,129,-0.123333333,-0.016666667
421,68,-1.446666667,-0.223333333
421,69,-1.25,-0.526666667
421,70,0.793333333,-1.146666667
421,74,0.116666667,0.793333333
421,75,-0.983333333,0.869999999999999
421,76,-2.59,1.063333333
421,83,-3.393333333,-3.58
421,84,-3.66,-3.186666667
421,85,-2.82,-3.356666667
421,102,-0.86,0.203333333
421,103,-2.256666667,0.133333333
421,104,-2.473333333,-0.113333333
421,106,-3.303333333,-0.86
421,107,-3.086666667,-2.256666667
421,108,-3.626666667,-2.473333333
421,114,-2.713333333,-2.193333333
421,115,-3.223333333,-0.893333333
421,116,-2.553333333,-1.503333333
421,127,-0.173333333,-0.163333333
421,128,-0.216666667,-0.25
421,129,-0.193333333,-0.236666667
421,134,-1.626666667,-0.326666667
421,135,-1.313333333,-0.523333333
421,138,-1.07,-1.626666667
421,139,-1.36,-1.313333333
422,46,-0.34,-1.83
422,47,-0.756666667,-1.64
422,48,-0.213333333,-2.133333333
422,104,-2.773333333,0.236666667
422,105,-2.506666667,-0.196666667
422,106,-3.703333333,-1.11
422,127,-0.053333333,0.036666667
422,128,-0.066666667,0
422,129,-0.023333333,-0.016666667
423,42,-1.98,-2.92
423,58,-0.323333333,-0.48
423,60,-0.173333333,-0.91
423,77,-2.43,1.476666667
423,78,-4.273333333,NA
423,82,-0.966666667,-4.273333333
423,83,-0.403333333,-4.17
423,84,-0.75,-2.496666667
423,86,-0.453333333,-0.966666667
423,120,-0.526933333,-0.333333333
423,121,-0.186666667,-0.446666667
423,123,-0.007433333,-0.183333333
423,124,-0.04,-0.526933333
423,125,-0.051766667,-0.186666667
423,127,-0.023333333,-0.007433333
424,52,0.096666667,NA
424,111,NA,NA
424,112,NA,NA
424,113,NA,NA
424,122,NA,NA
424,123,NA,NA
424,124,NA,NA
424,146,NA,NA
424,147,NA,NA
424,148,NA,NA
426,69,0.24,-0.666666667
426,70,1.013333333,-1.076666667
426,71,1.13,-0.573333333000001
426,75,-0.723333333,1.13
426,76,-1.72,1.573333333
426,77,-2.59,1.716666667
426,94,0.646666667,0.656666667
426,95,1.043333333,1.136666667
426,98,0.543333333,0.646666667
426,99,0.113333333,1.043333333
426,107,-2.906666667,-2.376666667
426,108,-1.936666667,-2.873333333
426,109,-2.323333333,-2.956666667
428,49,1.686666667,-0.886666667
428,53,0.906666667,1.686666667
428,94,0.526666667,0.0866666670000003
428,95,0.753333333,0.00666666700000018
428,96,0.603333333,0.133333333
428,105,-3.496666667,-0.496666667
428,106,-4.083333333,-1.24
428,109,-2.483333333,-3.496666667
428,110,-1.983333333,-4.083333333
428,114,-0.583333333,-1.983333333
428,115,-1.043333333,-0.253333333
428,116,-1.213333333,-0.00333333299999999
428,129,-0.133333333,-0.156666667
428,130,-0.046666667,-0.176666667
428,131,-0.043333333,-0.203333333
429,55,-1.82,2.266666667
429,56,-0.510000000000001,2.006666667
429,57,-0.253333333,1.496666667
429,60,-0.183333333,-0.510000000000001
429,61,-0.113333333,-0.253333333
429,62,0.0700000000000003,-0.423333333
429,74,0.496666667,1.553333333
429,75,-1.793333333,1.06
429,97,0.756666666999999,0.58
429,98,0.233333333,1.126666667
429,99,0.353333333,1.063333333
429,104,-3.183333333,-0.163333333000001
429,105,-3.336666667,-0.586666666999999
429,106,-3.373333333,-1.43
429,108,-1.346666667,-3.183333333
429,134,-0.406666667,-0.171666667
429,135,-0.493333333,-0.184333333
429,136,-0.597333333,-0.226
429,138,-0.865,-0.406666667
429,144,0.2942,0.044
429,146,0.670866667,0.177966667
431,46,-0.44,-1.23
431,54,0.26,1.88
431,55,-0.57,2.136666667
431,58,0.326666667,0.26
431,59,0.56,-0.57
431,66,-0.796666667,0.29
431,67,-0.693333333,0.0533333330000003
431,68,-0.636666667,-0.423333333
431,70,1.243333333,-0.796666667
431,71,1.37,-0.693333333
431,72,1.213333333,-0.636666667
431,74,1.286666667,1.243333333
431,75,-0.983333333,1.37
431,76,-2.74,1.213333333
431,83,-1.193333333,-2.83
431,84,-2.26,-1.436666667
431,87,-1.653333333,-1.193333333
431,88,-0.693333333,-2.26
431,90,0.786666667,-0.653333333
431,91,1.096666667,-1.653333333
431,102,-1.17,0.553333333
431,103,-2.886666667,0.573333333
431,104,-3.303333333,-0.0133333330000003
431,122,-0.023333333,-0.606666667
433,74,1.186666667,1.043333333
433,75,-0.773333333,1.52
433,76,-2.49,1.813333333
433,103,-2.516666667,0.333333333
437,44,-2.433333333,-2.32
437,46,-0.74,-1.53
437,53,-0.0333333330000007,0.176666667
439,57,-0.403333333,0.366666667
439,58,-0.0233333330000001,-1.24
