Bias_data_mat_h21,Bias_data_mat_h22,Bias_data_mat_h23
9,2,1.92
9,3,-2.683333333
9,4,-3.093333333
9,5,-1.393333333
9,6,0.396666667
9,7,0.640000000000001
9,8,0.600000000000001
9,9,0.970000000000001
9,10,NaN
9,11,1.32
9,12,-0.596666667000001
9,14,-1.34
9,15,-1.393333333
9,16,-0.233333333
9,17,-1.503333333
9,18,-1.01
9,19,-1.376666667
9,21,-0.263333332999999
9,22,0.156666667
9,23,0.193333333
9,24,0.433333333
9,25,0.223333333
9,28,2.026666667
9,29,1.34
9,30,0.91
12,1,NaN
12,2,NaN
12,4,NaN
12,6,NaN
12,7,0.140000000000001
12,8,0.600000000000001
12,9,0.57
12,10,0.896666667
12,11,1.42
12,12,-1.396666667
12,14,-1.64
12,17,-0.603333333
12,18,-0.86
12,20,-1.396666667
12,21,0.536666667
12,22,0.556666667
12,23,0.0433333329999996
12,24,-0.486666667
12,27,0.96
12,28,1.426666667
12,31,-1.156666667
12,32,-0.946666667
12,33,-0.44
12,34,-0.0533333329999994
13,1,NaN
13,2,-2.58
13,4,-4.393333333
13,6,-0.803333332999999
13,8,0.700000000000001
13,9,0.869999999999999
13,10,1.296666667
13,11,1.72
13,12,-0.396666667
13,13,-1.616666667
13,16,-1.233333333
13,17,-0.903333333
13,18,-1.36
13,19,-1.976666667
13,20,-2.046666667
13,22,-0.0433333330000005
13,29,0.94
15,4,-7.093333333
15,12,-2.196666667
15,13,-3.066666667
15,15,-2.143333333
15,16,0.166666667
15,17,-0.103333333
15,18,-0.86
15,20,-0.446666667
15,21,0.436666667000001
15,22,0.906666667
15,23,1.193333333
15,24,0.0133333330000003
15,25,-0.626666666999999
15,26,0.96
15,27,1.36
15,28,1.026666667
15,30,0.00999999999999979
15,31,-1.406666667
15,33,0.76
15,34,0.746666667
15,35,0.0766666669999996
16,1,-0.186666669999999
16,2,1.42
16,3,-3.483333333
16,4,-2.093333333
16,5,-0.893333332999999
16,7,1.64
16,8,1
16,9,0.77
16,10,0.796666667
16,12,-1.196666667
19,1,-0.186666669999999
19,2,0.42
19,3,-2.683333333
19,4,-4.193333333
19,5,-0.393333332999999
19,6,2.296666667
19,7,1.34
19,8,0.800000000000001
19,9,0.17
19,10,0.796666667
19,11,1.42
19,12,-1.396666667
19,13,-2.816666667
19,14,-2.04
19,15,-1.093333333
20,2,-0.58
20,4,-4.493333333
20,5,-3.893333333
20,9,0.17
20,11,1.42
20,12,-1.346666667
20,14,-1.54
20,15,-1.993333333
20,16,-1.833333333
20,17,-1.303333333
20,18,-1.06
20,19,-1.676666667
20,20,-1.646666667
20,21,-0.663333333
20,23,0.343333332999999
20,24,0.323333333
20,26,-0.29
20,27,1.01
20,28,1.826666667
20,29,2.24
20,32,-0.746666667
20,33,-0.540000000000001
20,35,-0.323333333
20,36,-0.71
20,38,-1.76
20,40,-1.56
20,42,-2.12
20,43,-1.816666667
20,45,0.46
20,46,-0.133333333
20,47,-0.796666667
20,48,0.1
20,49,0.263333333
20,50,1.026666667
20,51,1.276666667
20,52,2.03
20,54,0.896666667
20,55,-0.523333333
20,56,-0.75
20,57,-0.78
20,58,-0.58
20,59,-0.113333333
20,61,0.0599999999999996
20,63,0.0266666670000006
20,64,0.0199999999999996
20,66,-0.0833333329999997
20,67,-0.266666667
20,69,-0.593333333
20,70,-0.326666667
20,72,0.543333333
20,73,1.02
20,74,1.073333333
20,75,0.816666667
20,76,0.426666667
20,77,-0.903333333
20,78,-2.37
20,79,-2.87
20,80,-2.953333333
20,81,-2.08
20,82,-1.376666667
20,83,-0.336666667
20,84,-0.416666667
20,85,-0.583333333
20,86,-0.55
20,87,-0.41
20,88,-0.263333333
20,89,-0.183333333
20,90,0.096666667
20,91,0.546666667
20,92,1.066666667
20,93,1.246666667
20,94,1.313333333
20,95,1.32
20,98,0.893333333
20,99,1.016666667
20,100,-0.00666666700000018
20,101,0.203333333
20,102,-0.0433333330000005
20,103,-0.676666667
20,104,-1.61
20,105,-2.736666667
20,106,-2.573333333
20,108,-2.803333333
20,109,-1.996666667
20,112,-0.273333333
23,1,-1.88666667
23,2,-1.08
23,3,-2.183333333
23,5,-2.393333333
23,6,1.396666667
23,8,0.970000000000001
23,9,0.970000000000001
23,10,0.996666667
23,12,0.00333333299999872
23,14,-2.54
23,15,-3.293333333
23,16,-1.433333333
23,17,-1.613333333
23,18,-1.76
23,20,-1.146666667
23,21,0.336666667
30,1,-1.68666667
30,2,-1.58
30,3,-5.683333333
30,4,-4.293333333
30,5,-4.293333333
30,6,-0.103333333
30,7,0.940000000000001
30,8,0.4
30,9,-1.03
30,10,0.196666667000001
30,11,0.77
30,12,-1.396666667
30,13,-2.016666667
30,14,-2.29
30,15,-2.393333333
30,16,-2.083333333
30,17,-0.753333333
30,18,-1.22
30,19,-1.576666667
30,20,-1.846666667
30,21,-1.063333333
30,22,0.0666666669999998
30,23,-0.056666667
30,24,-0.256666667
30,25,-0.0766666669999996
30,26,-0.14
30,27,0.66
30,28,1.326666667
30,29,1.3
30,30,1.01
30,31,-1.056666667
30,32,-0.996666667
30,33,-0.640000000000001
30,34,-0.353333332999999
30,35,-0.363333333
30,36,-1.11
30,38,-2.14
30,40,-2.48
30,41,-1.906666667
30,42,-1.62
30,43,-1.596666667
30,44,-1.23
30,45,-1.06
30,46,-0.193333333
30,47,-0.646666667
30,48,-0.04
30,50,0.736666667
31,1,-0.48666667
31,2,2.42
31,3,-1.183333333
31,4,-1.593333333
31,6,0.146666667
31,8,1.8
31,10,1.546666667
31,12,-1.496666667
31,13,-2.616666667
31,14,-2.29
31,16,-1.983333333
31,17,-2.103333333
31,20,-1.546666667
35,1,-0.686666669999999
35,2,-0.58
35,3,-4.683333333
35,4,-4.893333333
35,5,NaN
35,6,-0.703333333
35,7,1.14
35,8,1
35,9,1.67
35,10,2.696666667
35,11,NaN
35,12,NaN
35,14,NaN
35,15,NaN
35,16,-1.033333333
35,17,-1.403333333
35,18,-2.56
