"Q1Ahead_error","1h_forecast_revision","Q2Ahead_error","2h_forecast_revision","Q3Ahead_error","3h_forecast_revision"
-0.883333332999999,-0.4,-2.393333333,-0.6,-2.693333333,-0.299999999999999
-0.793333333,-1.6,-0.393333332999999,-2.3,-0.403333333000001,-2.2
1.01333333,1.8,1.52,2.7,-0.383333332999999,2
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-0.593333333,NA,-0.593333332999999,NA,-0.603333333,NA
-0.393333332999999,-0.199999999999999,-0.503333333,-0.0999999999999996,0.84,-0.899999999999999
1.096666667,-1.6,1.44,-0.600000000000001,0.9,-0.699999999999999
1.39,0.0499999999999998,0.9,0,1.07,0.0999999999999996
NA,NA,NA,NA,NA,NA
0.369999999999999,NA,1.296666667,NA,2.02,NA
-1.796666667,0.799999999999999,-2.716666667,0.9,-3.74,0.899999999999999
-0.816666667,-1.9,-2.34,-1.4,-3.593333333,-0.9
0.42,1.5,-2.683333333,1.6,-3.093333333,1
-1.683333333,-1,-3.093333333,0,-1.893333333,-1
-1.093333333,-2,-1.393333333,-0.5,-0.603333333,0
0.306666667000001,-1.7,0.396666667,-1,1.14,-1
0.196666667000001,0.199999999999999,0.640000000000001,0.5,0.300000000000001,0.9
0.74,-0.0999999999999996,0.600000000000001,-0.300000000000001,0.970000000000001,0.199999999999999
0.600000000000001,0,0.970000000000001,0,1.296666667,0
NA,NA,NA,NA,NA,NA
0.596666667000001,NA,1.32,NA,0.00333333299999872,NA
0.720000000000001,0.6,-0.596666667000001,0.6,-1.016666667,0.6
-0.94,-0.4,-1.393333333,-0.5,-1.433333333,-0.5
-0.0933333330000004,-1.3,-0.233333333,-1.2,-0.603333333,-1.2
-1.033333333,0.799999999999999,-1.503333333,0.9,-2.46,1
-0.603333333,-0.9,-1.01,-1.45,-1.676666667,-1.6
-0.760000000000001,-0.25,-1.376666667,-0.3,-1.646666667,-0.26
-0.223333332999999,-0.04,0.156666667,-0.0999999999999996,0.443333333,-0.100000000000001
-0.0433333330000005,0.2,0.193333333,0.25,-0.0366666670000004,0.33
0.623333333,-0.43,0.433333333,-0.470000000000001,0.123333333000001,-0.4
0.363333333,0.0700000000000003,0.223333333,-0.0999999999999996,0.41,0
0.726666667,1.3,1.34,1.4,1.11,1.48
1.04,0.3,0.91,0.2,0.243333333000001,0.199999999999999
NA,NA,NA,NA,NA,NA
-0.303333332999999,NA,0.140000000000001,NA,0.300000000000001,NA
0.84,-0.699999999999999,0.600000000000001,-0.300000000000001,1.07,0.0999999999999996
0.800000000000001,-0.199999999999999,0.57,0.5,1.296666667,0.6
0.17,0.4,0.896666667,0.4,1.62,0.399999999999999
0.896666667,0,1.42,0.200000000000001,-0.196666667000001,0.199999999999999
-0.18,1.6,-1.396666667,1.2,-1.916666667,1
-0.103333333,-0.5,-0.86,-0.35,-1.376666667,-0.3
0.203333333,-1.6,0.536666667,-1.85,0.556666667,-1.88
0.536666667,0,0.556666667,0,0.843333332999999,-0.0499999999999998
-0.143333333,0.7,0.0433333329999996,0.8,-0.236666667,0.8
-0.206666667,0.25,-0.486666667,0.25,-0.676666667,0.2
0.81,0.15,1.426666667,0.0999999999999996,2.14,-0.0499999999999998
-0.556666667,-0.6,-0.946666667,-0.4,-1.04,-0.449999999999999
-0.446666667,-0.5,-0.44,-0.600000000000001,-0.553333333,-0.6
0.109999999999999,-0.549999999999999,-0.0533333329999994,-0.500000000000001,-0.423333333,-0.5
-1.88666667,NA,-2.58,NA,-5.183333333,NA
0.5,0.200000000000001,0.869999999999999,0.300000000000001,1.596666667,0.299999999999999
0.57,0.299999999999999,1.296666667,0.300000000000001,2.02,0.200000000000001
1.296666667,0,1.72,0.299999999999999,0.103333333,0.6
1.17,0.550000000000001,-0.396666667,0.5,-1.036666667,0.520000000000001
-1.046666667,0.65,-1.616666667,0.58,-2.29,0.48
-0.533333333,-0.7,-0.903333333,-0.7,-1.86,-0.699999999999999
-0.403333333,-0.5,-1.36,-0.5,-2.176666667,-0.399999999999999
-1.26,-0.0999999999999996,-1.976666667,-0.2,-2.346666667,-0.2
-1.676666667,-0.3,-2.046666667,-0.3,-1.963333333,-0.3
-1.946666667,-0.25,-3.066666667,-0.25,-4.04,-0.5
0.106666667,-2.25,0.166666667,-3.25,-0.353333333,NA
0.166666667,0,-0.103333333,-0.25,-1.01,-0.0999999999999996
-0.00333333300000049,-0.0999999999999996,-0.86,-0.15,-1.776666667,-0.100000000000001
0.253333333,-0.7,0.436666667000001,-0.800000000000001,0.306666667,-0.800000000000001
0.636666667,-0.199999999999999,0.906666667,-0.6,1.293333333,-0.85
0.806666667,0.0999999999999996,1.193333333,0.0999999999999996,1.013333333,0.0999999999999996
0.543333333,0.65,0.0133333330000003,1,-0.376666666999999,1
-0.236666667,0.25,-0.626666666999999,0.25,-0.39,0.399999999999999
0.223333333,-0.85,0.96,-1.35,1.51,-1.35
0.71,0.25,1.36,0.15,1.626666667,0.199999999999999
0.66,0.699999999999999,1.026666667,0.600000000000001,1.04,0.75
-0.59,0.6,-1.406666667,0.6,-0.746666667,0.75
0.993333333000001,-2.4,1.153333333,-1.9,1.26,-0.55
0.503333333,0.65,0.76,0.5,0.746666667,0.5
0.56,0.2,0.746666667,0,0.226666667,0
0.346666667,0.4,0.0766666669999996,0.15,-0.609999999999999,0.0999999999999996
3.81333333,-4,1.42,-1,-4.683333333,2
-0.58,2,-3.483333333,-1.2,-4.593333333,-3.5
-1.683333333,-1.8,-2.093333333,-2.5,-1.893333333,-2.5
-1.093333333,-1,-0.893333332999999,-1,-1.603333333,0.5
1.24,0.4,1,-0.2,1.27,-0.6
0.4,0.600000000000001,0.77,0.5,1.296666667,0.5
0.57,0.199999999999999,0.796666667,0.5,1.12,0.299999999999999
2.01333333,-3.3,2.62,-3.4,-0.583333333000001,-2.7
1.81333333,-2,0.42,-1,-4.183333333,-0.5
1.42,-1,-2.683333333,-1.5,-4.593333333,-1.5
-2.783333333,0.0999999999999996,-4.193333333,-0.4,-4.093333333,-1.3
0.106666667,-4.3,-0.393333332999999,-3.7,-0.803333332999999,-3
1.506666667,-1.9,2.296666667,-3.1,2.64,-3.5
0.596666667,1.7,1.34,1.3,1,0.8
1.14,0.2,0.800000000000001,0.2,1.17,0.2
-0.5,1.3,0.17,1,0.796666667,1
0.17,0,0.796666667,0,1.32,0
0.896666667,-0.0999999999999996,1.42,-0.0999999999999996,-0.196666667000001,0
0.42,1,-1.396666667,1.2,-2.316666667,1.3
-1.796666667,0.4,-2.816666667,0.5,-3.84,0.600000000000001
-1.116666667,-1.7,-2.04,-1.8,-2.693333333,-1.7
-0.54,-1.5,-1.093333333,-1.6,-1.233333333,-1.9
-4.193333333,-0.300000000000001,-3.893333333,0.4,-3.203333333,0.0999999999999996
0.0700000000000003,1.35,-1.346666667,1.24,-1.916666667,1.4
-1.54,0,-1.993333333,0,-1.833333333,0.5
-1.893333333,-0.0999999999999996,-1.833333333,0,-2.003333333,0.4
-0.433333332999999,-1.4,-1.303333333,-0.700000000000001,-2.06,-0.300000000000001
-0.403333333,-0.899999999999999,-1.06,-0.999999999999999,-1.576666667,-1.4
-1.06,0,-1.676666667,0.100000000000001,-1.946666667,0.2
-1.376666667,-0.3,-1.646666667,-0.3,-1.463333333,-0.3
-0.646666667,-1,-0.663333333,-0.8,-0.543333333000001,-0.899999999999999
0.513333332999999,-0.17,0.323333333,-0.16,-0.176666667,0.5
0.31,-0.6,1.01,-0.5,1.726666667,-0.6
1.21,-0.2,1.826666667,-0.0999999999999996,2.74,-0.3
1.226666667,0.6,2.24,0.5,2.41,0
-0.776666667,0.0299999999999994,-0.540000000000001,0.300000000000001,-0.553333333,0.300000000000001
-0.323333333,0,-0.71,0,-2.176666667,0.199999999999999
-0.81,0.0999999999999996,-2.176666667,0,-2.64,0.0999999999999996
-1.266666667,-0.909999999999999,-1.76,-0.879999999999999,-1.953333333,-0.869999999999999
-1.32,-0.8,-1.816666667,-0.6,-1.83,-0.699999999999999
-0.13,0.59,-0.133333333,0.7,-0.096666667,0.7
-0.733333333,0.6,-0.796666667,0.7,-0.64,0.61
0.0333333329999999,-0.83,0.1,-0.74,0.273333333,NA
0.1,0,0.263333333,0.00999999999999979,1.006666667,0.00999999999999979
0.243333333,0.02,1.026666667,-0.02,1.496666667,0.00999999999999979
0.986666667,0.04,1.276666667,0.22,1.98,0.31
1.206666667,0.0699999999999998,2.03,-0.0499999999999998,2.456666667,0.22
-0.103333333,1,-0.523333333,1.09,-0.73,1.09
-0.533333333000001,0.0100000000000007,-0.75,0.0199999999999996,-1.17,0.0899999999999999
-0.44,-0.31,-0.78,-0.39,-0.58,-0.5
-0.78,0,-0.58,0,-0.523333333,0
-0.25,-0.33,-0.113333333,-0.41,-0.273333333,-0.65
0.0366666670000004,-0.00999999999999979,0.0199999999999996,0.0800000000000001,-0.016666667,0.0600000000000005
-0.103333333,0.0200000000000005,-0.266666667,0.0300000000000002,-0.816666667000001,0.0100000000000007
-0.383333333,-0.21,-0.326666667,-0.19,-0.109999999999999,-0.220000000000001
0.543333333,0,1.02,0.00999999999999979,1.313333333,-0.199999999999999
0.89,0.13,1.073333333,0.239999999999999,1.416666667,0.199999999999999
0.533333333,0.54,0.816666667,0.600000000000001,0.836666667,0.58
0.476666667,0.34,0.426666667,0.41,-1.183333333,0.8
0.246666667,0.18,-0.903333333,-0.28,-2.11,-0.130000000000001
-1.233333333,0.33,-2.37,0.260000000000001,-2.86,0.28
-2.37,0,-2.87,0.00999999999999979,-4.103333333,-0.19
-1.69,-1.18,-2.953333333,-1.15,-2.88,-1.4
-1.823333333,-1.13,-2.08,-0.8,-1.966666667,-0.919999999999999
-1.37,-0.71,-1.376666667,-0.59,-1.456666667,-0.6
-0.276666667,-1.1,-0.336666667,-1.12,-0.656666667,-1.12
-0.116666667,-0.22,-0.416666667,-0.24,-0.593333333,-0.25
-0.396666667,-0.02,-0.583333333,-0.01,-0.66,-0.0800000000000001
-0.453333333,-0.13,-0.55,-0.11,-0.67,-0.12
-0.26,-0.29,-0.41,-0.26,-0.413333333,-0.3
-0.25,-0.16,-0.263333333,-0.15,-0.283333333,-0.12
-0.153333333,-0.11,-0.183333333,-0.0999999999999999,-0.0633333329999999,-0.0700000000000001
-0.023333333,-0.16,0.096666667,-0.16,0.486666667,-0.16
0.146666667,-0.0499999999999999,0.546666667,-0.0600000000000001,1.046666667,-0.05
0.566666667,-0.0199999999999999,1.066666667,-0.02,1.586666667,0.0199999999999999
0.736666667,0.33,1.246666667,0.34,1.563333333,0.35
0.996666667,0.25,1.313333333,0.25,1.8,0.26
0.793333333,0.52,1.32,0.48,1.776666667,0.46
0.92,0.4,1.526666667,0.25,1.993333333,-0.5
1.326666667,0.2,1.963333333,0.0300000000000002,2.203333333,0
0.483333333,1.48,0.893333333,1.31,0.976666666999999,1.43
0.833333333,0.0600000000000001,1.016666667,-0.04,0.993333333,-0.0999999999999996
0.016666667,1,-0.00666666700000018,1,0.0133333330000003,1.06
0.153333333,-0.16,0.203333333,-0.19,0.0466666669999993,-0.409999999999999
0.0433333329999996,0.16,-0.0433333330000005,0.0899999999999999,-0.616666667,0.2
-0.243333333000001,0.2,-0.676666667,0.0600000000000005,-1.57,0.11
-0.686666667,0.00999999999999979,-1.61,0.04,-2.906666667,0.0499999999999998
-1.37,-0.24,-2.736666667,-0.17,-3.173333333,-0.16
-2.246666667,-0.49,-2.573333333,-0.6,-2.806666667,-0.49
-1.813333333,-0.99,-1.996666667,-1.1,-2.256666667,-1.1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-1.893333333,-4,-2.503333333,-3.1,-1.86,-3.4
-0.113333333,-2.39,0.540000000000001,-2.4,0.15,-2.65
0.99,-0.449999999999999,0.600000000000001,-0.450000000000001,0.949999999999999,-0.479999999999999
-1.18666667,-0.699999999999999,-1.08,-1.1,-3.683333333,-1.6
0.52,-1.6,-2.183333333,-1.5,-2.993333333,-1.6
1.106666667,-3.5,1.396666667,-3.5,2.14,-3.5
0.5,0.470000000000001,0.970000000000001,0.529999999999999,1.696666667,0.54
0.17,0.800000000000001,0.996666667,0.700000000000001,1.62,0.6
-2.64,0.0999999999999996,-3.293333333,0.0999999999999996,-3.533333333,0.199999999999999
-1.393333333,-1.9,-1.433333333,-2.1,-1.903333333,-2.3
-0.953333332999999,-0.48,-1.613333333,-0.290000000000001,-2.7,-1.16
-0.803333333,-0.81,-1.76,-0.94,-2.576666667,-1.77
-0.0266666669999998,-1.12,0.336666667,-1.7,0.556666667,-2.3
2.81333333,-5,3.42,-5,0.816666667,-4.5
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-1.18666667,-0.5,-1.58,0,-4.183333333,-0.300000000000001
-2.68,1.1,-5.683333333,1.5,-5.093333333,0
