CG_h2_data1,CG_h2_data2,CG_h2_data3,CG_h2_data4
9,3,-2.683333333,1.6
9,4,-3.093333333,0
9,5,-1.393333333,-0.5
9,6,0.396666667,-1
9,7,0.640000000000001,0.5
9,8,0.600000000000001,-0.300000000000001
9,9,0.970000000000001,0
9,10,NaN,NaN
9,11,1.32,NaN
9,12,-0.596666667000001,0.6
9,15,-1.393333333,-0.5
9,16,-0.233333333,-1.2
9,17,-1.503333333,0.9
9,18,-1.01,-1.45
9,19,-1.376666667,-0.3
9,22,0.156666667,-0.0999999999999996
9,23,0.193333333,0.25
9,24,0.433333333,-0.470000000000001
9,25,0.223333333,-0.0999999999999996
9,29,1.34,1.4
9,30,0.91,0.2
12,2,NaN,NaN
12,7,0.140000000000001,NaN
12,8,0.600000000000001,-0.300000000000001
12,9,0.57,0.5
12,10,0.896666667,0.4
12,11,1.42,0.200000000000001
12,12,-1.396666667,1.2
12,18,-0.86,-0.35
12,21,0.536666667,-1.85
12,22,0.556666667,0
12,23,0.0433333329999996,0.8
12,24,-0.486666667,0.25
12,28,1.426666667,0.0999999999999996
12,32,-0.946666667,-0.4
12,33,-0.44,-0.600000000000001
12,34,-0.0533333329999994,-0.500000000000001
13,2,-2.58,NaN
13,9,0.869999999999999,0.300000000000001
13,10,1.296666667,0.300000000000001
13,11,1.72,0.299999999999999
13,12,-0.396666667,0.5
13,13,-1.616666667,0.58
13,17,-0.903333333,-0.7
13,18,-1.36,-0.5
13,19,-1.976666667,-0.2
13,20,-2.046666667,-0.3
15,13,-3.066666667,-0.25
15,16,0.166666667,-3.25
15,17,-0.103333333,-0.25
15,18,-0.86,-0.15
15,21,0.436666667000001,-0.800000000000001
15,22,0.906666667,-0.6
15,23,1.193333333,0.0999999999999996
15,24,0.0133333330000003,1
15,25,-0.626666666999999,0.25
15,26,0.96,-1.35
15,27,1.36,0.15
15,28,1.026666667,0.600000000000001
15,31,-1.406666667,0.6
15,34,0.746666667,0
15,35,0.0766666669999996,0.15
16,2,1.42,-1
16,3,-3.483333333,-1.2
16,4,-2.093333333,-2.5
16,5,-0.893333332999999,-1
16,8,1,-0.2
16,9,0.77,0.5
16,10,0.796666667,0.5
19,2,0.42,-1
19,3,-2.683333333,-1.5
19,4,-4.193333333,-0.4
19,5,-0.393333332999999,-3.7
19,6,2.296666667,-3.1
19,7,1.34,1.3
19,8,0.800000000000001,0.2
19,9,0.17,1
19,10,0.796666667,0
19,11,1.42,-0.0999999999999996
19,12,-1.396666667,1.2
19,13,-2.816666667,0.5
19,14,-2.04,-1.8
19,15,-1.093333333,-1.6
20,5,-3.893333333,0.4
20,12,-1.346666667,1.24
20,15,-1.993333333,0
20,16,-1.833333333,0
20,17,-1.303333333,-0.700000000000001
20,18,-1.06,-0.999999999999999
20,19,-1.676666667,0.100000000000001
20,20,-1.646666667,-0.3
20,21,-0.663333333,-0.8
20,24,0.323333333,-0.16
20,27,1.01,-0.5
20,28,1.826666667,-0.0999999999999996
20,29,2.24,0.5
20,33,-0.540000000000001,0.300000000000001
20,36,-0.71,0
20,43,-1.816666667,-0.6
20,46,-0.133333333,0.7
20,47,-0.796666667,0.7
20,48,0.1,-0.74
20,49,0.263333333,0.00999999999999979
20,50,1.026666667,-0.02
20,51,1.276666667,0.22
20,52,2.03,-0.0499999999999998
20,55,-0.523333333,1.09
20,56,-0.75,0.0199999999999996
20,57,-0.78,-0.39
20,58,-0.58,0
20,59,-0.113333333,-0.41
20,64,0.0199999999999996,0.0800000000000001
20,67,-0.266666667,0.0300000000000002
20,70,-0.326666667,-0.19
20,73,1.02,0.00999999999999979
20,74,1.073333333,0.239999999999999
20,75,0.816666667,0.600000000000001
20,76,0.426666667,0.41
20,77,-0.903333333,-0.28
20,78,-2.37,0.260000000000001
20,79,-2.87,0.00999999999999979
20,80,-2.953333333,-1.15
20,81,-2.08,-0.8
20,82,-1.376666667,-0.59
20,83,-0.336666667,-1.12
20,84,-0.416666667,-0.24
20,85,-0.583333333,-0.01
20,86,-0.55,-0.11
20,87,-0.41,-0.26
20,88,-0.263333333,-0.15
20,89,-0.183333333,-0.0999999999999999
20,90,0.096666667,-0.16
20,91,0.546666667,-0.0600000000000001
20,92,1.066666667,-0.02
20,93,1.246666667,0.34
20,94,1.313333333,0.25
20,95,1.32,0.48
20,99,1.016666667,-0.04
20,100,-0.00666666700000018,1
20,101,0.203333333,-0.19
20,102,-0.0433333330000005,0.0899999999999999
20,103,-0.676666667,0.0600000000000005
20,104,-1.61,0.04
20,105,-2.736666667,-0.17
20,106,-2.573333333,-0.6
20,109,-1.996666667,-1.1
23,2,-1.08,-1.1
23,3,-2.183333333,-1.5
23,6,1.396666667,-3.5
23,9,0.970000000000001,0.529999999999999
23,10,0.996666667,0.700000000000001
23,15,-3.293333333,0.0999999999999996
23,16,-1.433333333,-2.1
23,17,-1.613333333,-0.290000000000001
23,18,-1.76,-0.94
23,21,0.336666667,-1.7
30,2,-1.58,0
30,3,-5.683333333,1.5
30,4,-4.293333333,-0.800000000000001
30,5,-4.293333333,0
30,6,-0.103333333,-4.1
30,7,0.940000000000001,0
30,8,0.4,0.0999999999999996
30,9,-1.03,1.6
30,10,0.196666667000001,-0.800000000000001
