"Q1Ahead_error","h1_forecast_revision","Q2Ahead_error","h2_forecast_revision","Q3Ahead_error","h3_forecast_revision","ID","Date_number"
-0.883333332999999,-0.4,-2.393333333,-0.6,-2.693333333,-0.299999999999999,3,4
-0.793333333,-1.6,-0.393333332999999,-2.3,-0.403333333000001,-2.2,3,5
1.01333333,1.8,1.52,2.7,-0.383333332999999,2,4,2
NA,NA,NA,NA,NA,NA,5,2
NA,NA,NA,NA,NA,NA,5,3
NA,NA,NA,NA,NA,NA,5,4
-0.593333333,NA,-0.593333332999999,NA,-0.603333333,NA,5,5
-0.393333332999999,-0.199999999999999,-0.503333333,-0.0999999999999996,0.84,-0.899999999999999,5,6
1.096666667,-1.6,1.44,-0.600000000000001,0.9,-0.699999999999999,5,7
1.39,0.0499999999999998,0.9,0,1.07,0.0999999999999996,5,8
NA,NA,NA,NA,NA,NA,5,9
0.369999999999999,NA,1.296666667,NA,2.02,NA,5,10
-1.796666667,0.799999999999999,-2.716666667,0.9,-3.74,0.899999999999999,5,13
-0.816666667,-1.9,-2.34,-1.4,-3.593333333,-0.9,5,14
0.42,1.5,-2.683333333,1.6,-3.093333333,1,9,3
-1.683333333,-1,-3.093333333,0,-1.893333333,-1,9,4
-1.093333333,-2,-1.393333333,-0.5,-0.603333333,0,9,5
0.306666667000001,-1.7,0.396666667,-1,1.14,-1,9,6
0.196666667000001,0.199999999999999,0.640000000000001,0.5,0.300000000000001,0.9,9,7
0.74,-0.0999999999999996,0.600000000000001,-0.300000000000001,0.970000000000001,0.199999999999999,9,8
0.600000000000001,0,0.970000000000001,0,1.296666667,0,9,9
NA,NA,NA,NA,NA,NA,9,10
0.596666667000001,NA,1.32,NA,0.00333333299999872,NA,9,11
0.720000000000001,0.6,-0.596666667000001,0.6,-1.016666667,0.6,9,12
-0.94,-0.4,-1.393333333,-0.5,-1.433333333,-0.5,9,15
-0.0933333330000004,-1.3,-0.233333333,-1.2,-0.603333333,-1.2,9,16
-1.033333333,0.799999999999999,-1.503333333,0.9,-2.46,1,9,17
-0.603333333,-0.9,-1.01,-1.45,-1.676666667,-1.6,9,18
-0.760000000000001,-0.25,-1.376666667,-0.3,-1.646666667,-0.26,9,19
-0.223333332999999,-0.04,0.156666667,-0.0999999999999996,0.443333333,-0.100000000000001,9,22
-0.0433333330000005,0.2,0.193333333,0.25,-0.0366666670000004,0.33,9,23
0.623333333,-0.43,0.433333333,-0.470000000000001,0.123333333000001,-0.4,9,24
0.363333333,0.0700000000000003,0.223333333,-0.0999999999999996,0.41,0,9,25
0.726666667,1.3,1.34,1.4,1.11,1.48,9,29
1.04,0.3,0.91,0.2,0.243333333000001,0.199999999999999,9,30
NA,NA,NA,NA,NA,NA,12,2
-0.303333332999999,NA,0.140000000000001,NA,0.300000000000001,NA,12,7
0.84,-0.699999999999999,0.600000000000001,-0.300000000000001,1.07,0.0999999999999996,12,8
0.800000000000001,-0.199999999999999,0.57,0.5,1.296666667,0.6,12,9
0.17,0.4,0.896666667,0.4,1.62,0.399999999999999,12,10
0.896666667,0,1.42,0.200000000000001,-0.196666667000001,0.199999999999999,12,11
-0.18,1.6,-1.396666667,1.2,-1.916666667,1,12,12
-0.103333333,-0.5,-0.86,-0.35,-1.376666667,-0.3,12,18
0.203333333,-1.6,0.536666667,-1.85,0.556666667,-1.88,12,21
0.536666667,0,0.556666667,0,0.843333332999999,-0.0499999999999998,12,22
-0.143333333,0.7,0.0433333329999996,0.8,-0.236666667,0.8,12,23
-0.206666667,0.25,-0.486666667,0.25,-0.676666667,0.2,12,24
0.81,0.15,1.426666667,0.0999999999999996,2.14,-0.0499999999999998,12,28
-0.556666667,-0.6,-0.946666667,-0.4,-1.04,-0.449999999999999,12,32
-0.446666667,-0.5,-0.44,-0.600000000000001,-0.553333333,-0.6,12,33
0.109999999999999,-0.549999999999999,-0.0533333329999994,-0.500000000000001,-0.423333333,-0.5,12,34
-1.88666667,NA,-2.58,NA,-5.183333333,NA,13,2
0.5,0.200000000000001,0.869999999999999,0.300000000000001,1.596666667,0.299999999999999,13,9
0.57,0.299999999999999,1.296666667,0.300000000000001,2.02,0.200000000000001,13,10
1.296666667,0,1.72,0.299999999999999,0.103333333,0.6,13,11
1.17,0.550000000000001,-0.396666667,0.5,-1.036666667,0.520000000000001,13,12
-1.046666667,0.65,-1.616666667,0.58,-2.29,0.48,13,13
-0.533333333,-0.7,-0.903333333,-0.7,-1.86,-0.699999999999999,13,17
-0.403333333,-0.5,-1.36,-0.5,-2.176666667,-0.399999999999999,13,18
-1.26,-0.0999999999999996,-1.976666667,-0.2,-2.346666667,-0.2,13,19
-1.676666667,-0.3,-2.046666667,-0.3,-1.963333333,-0.3,13,20
-1.946666667,-0.25,-3.066666667,-0.25,-4.04,-0.5,15,13
0.106666667,-2.25,0.166666667,-3.25,-0.353333333,NA,15,16
0.166666667,0,-0.103333333,-0.25,-1.01,-0.0999999999999996,15,17
-0.00333333300000049,-0.0999999999999996,-0.86,-0.15,-1.776666667,-0.100000000000001,15,18
0.253333333,-0.7,0.436666667000001,-0.800000000000001,0.306666667,-0.800000000000001,15,21
0.636666667,-0.199999999999999,0.906666667,-0.6,1.293333333,-0.85,15,22
0.806666667,0.0999999999999996,1.193333333,0.0999999999999996,1.013333333,0.0999999999999996,15,23
