"Year","Quarter","ID","Nowcast","Q1_aheadfc","Q2_aheadfc","Q3_aheadfc","Q4_aheadfc","dateQ","Date_number"
1981,3,4,"14.6","11","10","8.2","7.7","1981Q3",1
1981,3,5,"15.1","14","14.5","14.9","15.3","1981Q3",1
1981,3,12,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q3",1
1981,3,13,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q3",1
1981,3,16,"15","13","13","12","12","1981Q3",1
1981,3,18,"15.6","14.8","14.1","13.2","12.6","1981Q3",1
1981,3,19,"14.9","14.5","13","13","14","1981Q3",1
1981,3,21,"15","15.5","15.4","15","#N/A","1981Q3",1
1981,3,23,"14.8","14.7","14.7","14.6","14.6","1981Q3",1
1981,3,25,"15.6","15.6","15","14","13","1981Q3",1
1981,3,30,"14.9","14.7","14.5","14","13.8","1981Q3",1
1981,3,31,"14.8","15.3","13.3","10.5","9.3","1981Q3",1
1981,3,33,"15.2","14","13.5","11.5","12","1981Q3",1
1981,3,34,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q3",1
1981,3,35,"15.3","15.3","13.5","12.5","12.5","1981Q3",1
1981,3,40,"14.8","14.4","13.8","13.2","13.1","1981Q3",1
1981,3,43,"13.3","13.8","12.6","12.5","11.8","1981Q3",1
1981,3,54,"15","14","13","12.75","12.25","1981Q3",1
1981,3,58,"15.4","16","16.4","17.2","15.1","1981Q3",1
1981,3,62,"15","13","12","11","10","1981Q3",1
1981,3,65,"16.5","14.65","15.5","13.8","10.5","1981Q3",1
1981,3,66,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q3",1
1981,3,68,"15.08","14.4","14.87","15","15.5","1981Q3",1
1981,3,69,"15.5","14.5","14.5","15","15","1981Q3",1
1981,3,70,"15.1","14","13.5","14.5","13","1981Q3",1
1981,3,72,"14","13","12","12","11.3","1981Q3",1
1981,3,74,"15.3","14.8","14.7","15.4","16","1981Q3",1
1981,3,75,"14.8","14","13","12","11.5","1981Q3",1
1981,3,77,"15.8","15.4","14.2","13.3","12.4","1981Q3",1
1981,3,79,"15.1","14.5","13.8","13.4","12.8","1981Q3",1
1981,3,81,"15.3","15.7","15.6","15.2","14.7","1981Q3",1
1981,3,82,"14.9","13.4","12.2","12.1","12.3","1981Q3",1
1981,3,84,"15.2","17","16","14","16","1981Q3",1
1981,3,85,"15.1","13.6","13.8","14.1","14.8","1981Q3",1
1981,3,86,"15.8","14.5","10.8","9.4","8.4","1981Q3",1
1981,3,87,"15.5","15","14.5","14","13","1981Q3",1
1981,4,4,"12.3","11.8","10.9","9.7","8.2","1981Q4",2
1981,4,5,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
1981,4,7,"11.7","9.4","8.8","8.6","8.8","1981Q4",2
1981,4,9,"10.8","10.8","10.5","10.4","10","1981Q4",2
1981,4,12,"#N/A","#N/A","#N/A","#N/A","#N/A","1981Q4",2
