MZ_data_mat_h31,MZ_data_mat_h32,MZ_data_mat_h33,MZ_data_mat_h34
9,2,10.4,9.316666667
9,3,11,7.906666667
9,4,10,8.106666667
9,5,9,8.396666667
9,6,8,9.14
9,7,8.5,8.8
9,8,8.2,9.17
9,9,8.5,9.796666667
9,10,NaN,10.32
9,11,8.8,8.803333333
9,12,9.2,8.183333333
9,14,9,7.106666667
9,15,8.6,7.166666667
9,16,7.5,6.896666667
9,17,8.6,6.14
9,18,7.2,5.523333333
9,19,7,5.353333333
9,21,5.6,5.656666667
9,22,5.6,6.043333333
9,23,5.9,5.863333333
9,24,5.6,5.723333333
9,25,5.8,6.21
9,28,5.8,8.54
9,29,7.3,8.41
9,30,7.6,7.843333333
12,1,NaN,12.42
12,2,NaN,9.316666667
12,4,NaN,8.106666667
12,6,NaN,9.14
12,7,8.5,8.8
12,8,8.1,9.17
12,9,8.5,9.796666667
12,10,8.7,10.32
12,11,9,8.803333333
12,12,10.1,8.183333333
12,14,9,7.106666667
12,17,7.35,6.14
12,18,6.9,5.523333333
12,20,6.85,5.536666667
12,21,5.1,5.656666667
12,22,5.2,6.043333333
12,23,6.1,5.863333333
12,24,6.4,5.723333333
12,27,6.2,7.726666667
12,28,6.4,8.54
12,31,9,7.653333333
12,32,8.8,7.76
12,33,8.3,7.746666667
12,34,7.9,7.476666667
13,1,NaN,12.42
13,2,14.5,9.316666667
13,4,12,8.106666667
13,6,9,9.14
13,8,8,9.17
13,9,8.2,9.796666667
13,10,8.3,10.32
13,11,8.7,8.803333333
13,12,9.22,8.183333333
13,13,9.75,7.46
13,16,8.5,6.896666667
13,17,8,6.14
13,18,7.7,5.523333333
13,19,7.7,5.353333333
13,20,7.5,5.536666667
13,22,5.8,6.043333333
13,29,7.7,8.41
15,4,14,8.106666667
15,12,11.5,8.183333333
15,13,11.5,7.46
15,15,10.25,7.166666667
15,16,7.25,6.896666667
15,17,7.15,6.14
15,18,7.3,5.523333333
15,20,5.9,5.536666667
15,21,5.35,5.656666667
15,22,4.75,6.043333333
15,23,4.85,5.863333333
15,24,6.1,5.723333333
15,25,6.6,6.21
15,26,5.5,7.01
15,27,6.1,7.726666667
15,28,7.5,8.54
15,30,8.65,7.843333333
15,31,8.4,7.653333333
15,33,7,7.746666667
15,34,7.25,7.476666667
15,35,7.6,6.99
16,1,12,12.42
16,2,14,9.316666667
